benchmark_schema_version,benchmark_run_id,benchmark_scale,benchmark_dataset_ids,benchmark_git_commit,benchmark_dataset_id,benchmark_hypothesis_id,hypothesis_id,dataset_id,fixture_id,fixture_name,noise_rate,coverage,n_seeds,n_rows,exact_match_rate,mean_vertex_edit_distance,dp_exact_match_rate,greedy_exact_match_rate,dp_minus_greedy_exact_match_gap
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,0.0,5,3,6,1.0,0.0,1.0,1.0,0.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,0.01,5,3,6,1.0,0.0,1.0,1.0,0.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,0.05,5,3,6,1.0,0.0,1.0,1.0,0.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,0.1,5,3,6,1.0,0.0,1.0,1.0,0.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,0.2,5,3,6,1.0,0.0,1.0,1.0,0.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,0.0,10,3,6,1.0,0.0,1.0,1.0,0.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,0.01,10,3,6,1.0,0.0,1.0,1.0,0.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,0.05,10,3,6,1.0,0.0,1.0,1.0,0.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,0.1,10,3,6,1.0,0.0,1.0,1.0,0.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,0.2,10,3,6,1.0,0.0,1.0,1.0,0.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,0.0,20,3,6,1.0,0.0,1.0,1.0,0.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,0.01,20,3,6,1.0,0.0,1.0,1.0,0.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,0.05,20,3,6,1.0,0.0,1.0,1.0,0.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,0.1,20,3,6,1.0,0.0,1.0,1.0,0.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,0.2,20,3,6,1.0,0.0,1.0,1.0,0.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,0.0,40,3,6,1.0,0.0,1.0,1.0,0.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,0.01,40,3,6,1.0,0.0,1.0,1.0,0.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,0.05,40,3,6,1.0,0.0,1.0,1.0,0.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,0.1,40,3,6,1.0,0.0,1.0,1.0,0.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,0.2,40,3,6,1.0,0.0,1.0,1.0,0.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G1,local-trap bubble,0.0,5,3,6,0.5,1.0,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G1,local-trap bubble,0.01,5,3,6,0.5,1.0,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G1,local-trap bubble,0.05,5,3,6,0.5,1.0,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G1,local-trap bubble,0.1,5,3,6,0.5,1.0,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G1,local-trap bubble,0.2,5,3,6,0.5,1.0,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G1,local-trap bubble,0.0,10,3,6,0.5,1.0,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G1,local-trap bubble,0.01,10,3,6,0.5,1.0,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G1,local-trap bubble,0.05,10,3,6,0.5,1.0,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G1,local-trap bubble,0.1,10,3,6,0.5,1.0,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G1,local-trap bubble,0.2,10,3,6,0.5,1.0,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G1,local-trap bubble,0.0,20,3,6,0.5,1.0,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G1,local-trap bubble,0.01,20,3,6,0.5,1.0,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G1,local-trap bubble,0.05,20,3,6,0.5,1.0,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G1,local-trap bubble,0.1,20,3,6,0.5,1.0,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G1,local-trap bubble,0.2,20,3,6,0.5,1.0,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G1,local-trap bubble,0.0,40,3,6,0.5,1.0,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G1,local-trap bubble,0.01,40,3,6,0.5,1.0,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G1,local-trap bubble,0.05,40,3,6,0.5,1.0,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G1,local-trap bubble,0.1,40,3,6,0.5,1.0,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G1,local-trap bubble,0.2,40,3,6,0.5,1.0,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G2,delayed-exit bubble,0.0,5,3,6,0.5,1.5,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G2,delayed-exit bubble,0.01,5,3,6,0.5,1.5,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G2,delayed-exit bubble,0.05,5,3,6,0.5,1.5,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G2,delayed-exit bubble,0.1,5,3,6,0.5,1.5,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G2,delayed-exit bubble,0.2,5,3,6,0.5,1.5,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G2,delayed-exit bubble,0.0,10,3,6,0.5,1.5,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G2,delayed-exit bubble,0.01,10,3,6,0.5,1.5,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G2,delayed-exit bubble,0.05,10,3,6,0.5,1.5,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G2,delayed-exit bubble,0.1,10,3,6,0.5,1.5,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G2,delayed-exit bubble,0.2,10,3,6,0.5,1.5,1.0,0.0,1.0
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G2,delayed-exit bubble,0.0,20,3,6,0.5,1.5,1.0,0.0,1.0
