benchmark_schema_version,benchmark_run_id,benchmark_scale,benchmark_dataset_ids,benchmark_git_commit,benchmark_graph_id,graph_id,weighting,K,rank,path_vertices,sha_or_string_group_id,score,total_probability,delta_log_prob_from_top,probability_ratio_to_top,truth_label,is_true_alternative,is_decoy,tie_broken,runtime_s,peak_rss_mib
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,evidence_weighted,2,1,"S,P1,P2,A1_1,A1_2,Q1,Q2,T","S,P1,P2,A1_1,A1_2,Q1,Q2,T",0.5753641449035618,0.5625,0.0,1.0,A1,true,false,false,0.119012292,1424.53515625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,evidence_weighted,2,2,"S,P1,P2,A2_1,A2_2,Q1,Q2,T","S,P1,P2,A2_1,A2_2,Q1,Q2,T",0.9808292530117262,0.375,0.4054651081081644,0.6666666666666666,A2,true,false,false,0.119012292,1424.53515625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,evidence_weighted,5,1,"S,P1,P2,A1_1,A1_2,Q1,Q2,T","S,P1,P2,A1_1,A1_2,Q1,Q2,T",0.5753641449035618,0.5625,0.0,1.0,A1,true,false,false,0.000631875,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,evidence_weighted,5,2,"S,P1,P2,A2_1,A2_2,Q1,Q2,T","S,P1,P2,A2_1,A2_2,Q1,Q2,T",0.9808292530117262,0.375,0.4054651081081644,0.6666666666666666,A2,true,false,false,0.000631875,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,evidence_weighted,5,3,"S,P1,P2,D1_1,D1_2,Q1,Q2,T","S,P1,P2,D1_1,D1_2,Q1,Q2,T",2.772588722239781,0.0625,2.197224577336219,0.1111111111111111,decoy,false,true,false,0.000631875,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,evidence_weighted,10,1,"S,P1,P2,A1_1,A1_2,Q1,Q2,T","S,P1,P2,A1_1,A1_2,Q1,Q2,T",0.5753641449035618,0.5625,0.0,1.0,A1,true,false,false,0.000847,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,evidence_weighted,10,2,"S,P1,P2,A2_1,A2_2,Q1,Q2,T","S,P1,P2,A2_1,A2_2,Q1,Q2,T",0.9808292530117262,0.375,0.4054651081081644,0.6666666666666666,A2,true,false,false,0.000847,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,evidence_weighted,10,3,"S,P1,P2,D1_1,D1_2,Q1,Q2,T","S,P1,P2,D1_1,D1_2,Q1,Q2,T",2.772588722239781,0.0625,2.197224577336219,0.1111111111111111,decoy,false,true,false,0.000847,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,evidence_weighted,50,1,"S,P1,P2,A1_1,A1_2,Q1,Q2,T","S,P1,P2,A1_1,A1_2,Q1,Q2,T",0.5753641449035618,0.5625,0.0,1.0,A1,true,false,false,0.000717625,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,evidence_weighted,50,2,"S,P1,P2,A2_1,A2_2,Q1,Q2,T","S,P1,P2,A2_1,A2_2,Q1,Q2,T",0.9808292530117262,0.375,0.4054651081081644,0.6666666666666666,A2,true,false,false,0.000717625,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,evidence_weighted,50,3,"S,P1,P2,D1_1,D1_2,Q1,Q2,T","S,P1,P2,D1_1,D1_2,Q1,Q2,T",2.772588722239781,0.0625,2.197224577336219,0.1111111111111111,decoy,false,true,false,0.000717625,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,evidence_weighted,100,1,"S,P1,P2,A1_1,A1_2,Q1,Q2,T","S,P1,P2,A1_1,A1_2,Q1,Q2,T",0.5753641449035618,0.5625,0.0,1.0,A1,true,false,false,0.000264709,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,evidence_weighted,100,2,"S,P1,P2,A2_1,A2_2,Q1,Q2,T","S,P1,P2,A2_1,A2_2,Q1,Q2,T",0.9808292530117262,0.375,0.4054651081081644,0.6666666666666666,A2,true,false,false,0.000264709,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,evidence_weighted,100,3,"S,P1,P2,D1_1,D1_2,Q1,Q2,T","S,P1,P2,D1_1,D1_2,Q1,Q2,T",2.772588722239781,0.0625,2.197224577336219,0.1111111111111111,decoy,false,true,false,0.000264709,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,uniform,2,1,"S,P1,P2,A1_1,A1_2,Q1,Q2,T","S,P1,P2,A1_1,A1_2,Q1,Q2,T",1.0986122886681098,0.3333333333333333,0.0,1.0,A1,true,false,true,0.019155292,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,uniform,2,2,"S,P1,P2,A2_1,A2_2,Q1,Q2,T","S,P1,P2,A2_1,A2_2,Q1,Q2,T",1.0986122886681098,0.3333333333333333,0.0,1.0,A2,true,false,true,0.019155292,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,uniform,5,1,"S,P1,P2,A1_1,A1_2,Q1,Q2,T","S,P1,P2,A1_1,A1_2,Q1,Q2,T",1.0986122886681098,0.3333333333333333,0.0,1.0,A1,true,false,true,0.000177875,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,uniform,5,2,"S,P1,P2,A2_1,A2_2,Q1,Q2,T","S,P1,P2,A2_1,A2_2,Q1,Q2,T",1.0986122886681098,0.3333333333333333,0.0,1.0,A2,true,false,true,0.000177875,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,uniform,5,3,"S,P1,P2,D1_1,D1_2,Q1,Q2,T","S,P1,P2,D1_1,D1_2,Q1,Q2,T",1.0986122886681098,0.3333333333333333,0.0,1.0,decoy,false,true,true,0.000177875,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,uniform,10,1,"S,P1,P2,A1_1,A1_2,Q1,Q2,T","S,P1,P2,A1_1,A1_2,Q1,Q2,T",1.0986122886681098,0.3333333333333333,0.0,1.0,A1,true,false,true,0.000158584,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,uniform,10,2,"S,P1,P2,A2_1,A2_2,Q1,Q2,T","S,P1,P2,A2_1,A2_2,Q1,Q2,T",1.0986122886681098,0.3333333333333333,0.0,1.0,A2,true,false,true,0.000158584,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,uniform,10,3,"S,P1,P2,D1_1,D1_2,Q1,Q2,T","S,P1,P2,D1_1,D1_2,Q1,Q2,T",1.0986122886681098,0.3333333333333333,0.0,1.0,decoy,false,true,true,0.000158584,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,uniform,50,1,"S,P1,P2,A1_1,A1_2,Q1,Q2,T","S,P1,P2,A1_1,A1_2,Q1,Q2,T",1.0986122886681098,0.3333333333333333,0.0,1.0,A1,true,false,true,0.000188625,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,uniform,50,2,"S,P1,P2,A2_1,A2_2,Q1,Q2,T","S,P1,P2,A2_1,A2_2,Q1,Q2,T",1.0986122886681098,0.3333333333333333,0.0,1.0,A2,true,false,true,0.000188625,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,uniform,50,3,"S,P1,P2,D1_1,D1_2,Q1,Q2,T","S,P1,P2,D1_1,D1_2,Q1,Q2,T",1.0986122886681098,0.3333333333333333,0.0,1.0,decoy,false,true,true,0.000188625,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,uniform,100,1,"S,P1,P2,A1_1,A1_2,Q1,Q2,T","S,P1,P2,A1_1,A1_2,Q1,Q2,T",1.0986122886681098,0.3333333333333333,0.0,1.0,A1,true,false,true,0.000428041,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,uniform,100,2,"S,P1,P2,A2_1,A2_2,Q1,Q2,T","S,P1,P2,A2_1,A2_2,Q1,Q2,T",1.0986122886681098,0.3333333333333333,0.0,1.0,A2,true,false,true,0.000428041,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,bubble,bubble,uniform,100,3,"S,P1,P2,D1_1,D1_2,Q1,Q2,T","S,P1,P2,D1_1,D1_2,Q1,Q2,T",1.0986122886681098,0.3333333333333333,0.0,1.0,decoy,false,true,true,0.000428041,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,evidence_weighted,2,1,"S,F1,R2_1,R2_2,F2,T","S,F1,R2_1,R2_2,F2,T",0.6931471805599453,0.5,0.0,1.0,R2,true,false,false,0.000141417,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,evidence_weighted,2,2,"S,F1,R3_1,R3_2,F2,T","S,F1,R3_1,R3_2,F2,T",0.8266785731844679,0.4375,0.13353139262452263,0.875,R3,true,false,false,0.000141417,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,evidence_weighted,5,1,"S,F1,R2_1,R2_2,F2,T","S,F1,R2_1,R2_2,F2,T",0.6931471805599453,0.5,0.0,1.0,R2,true,false,false,0.000127875,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,evidence_weighted,5,2,"S,F1,R3_1,R3_2,F2,T","S,F1,R3_1,R3_2,F2,T",0.8266785731844679,0.4375,0.13353139262452263,0.875,R3,true,false,false,0.000127875,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,evidence_weighted,5,3,"S,F1,E1_1,E1_2,F2,T","S,F1,E1_1,E1_2,F2,T",2.772588722239781,0.0625,2.0794415416798357,0.125,decoy,false,true,false,0.000127875,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,evidence_weighted,10,1,"S,F1,R2_1,R2_2,F2,T","S,F1,R2_1,R2_2,F2,T",0.6931471805599453,0.5,0.0,1.0,R2,true,false,false,0.000966917,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,evidence_weighted,10,2,"S,F1,R3_1,R3_2,F2,T","S,F1,R3_1,R3_2,F2,T",0.8266785731844679,0.4375,0.13353139262452263,0.875,R3,true,false,false,0.000966917,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,evidence_weighted,10,3,"S,F1,E1_1,E1_2,F2,T","S,F1,E1_1,E1_2,F2,T",2.772588722239781,0.0625,2.0794415416798357,0.125,decoy,false,true,false,0.000966917,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,evidence_weighted,50,1,"S,F1,R2_1,R2_2,F2,T","S,F1,R2_1,R2_2,F2,T",0.6931471805599453,0.5,0.0,1.0,R2,true,false,false,0.000544708,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,evidence_weighted,50,2,"S,F1,R3_1,R3_2,F2,T","S,F1,R3_1,R3_2,F2,T",0.8266785731844679,0.4375,0.13353139262452263,0.875,R3,true,false,false,0.000544708,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,evidence_weighted,50,3,"S,F1,E1_1,E1_2,F2,T","S,F1,E1_1,E1_2,F2,T",2.772588722239781,0.0625,2.0794415416798357,0.125,decoy,false,true,false,0.000544708,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,evidence_weighted,100,1,"S,F1,R2_1,R2_2,F2,T","S,F1,R2_1,R2_2,F2,T",0.6931471805599453,0.5,0.0,1.0,R2,true,false,false,0.000108,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,evidence_weighted,100,2,"S,F1,R3_1,R3_2,F2,T","S,F1,R3_1,R3_2,F2,T",0.8266785731844679,0.4375,0.13353139262452263,0.875,R3,true,false,false,0.000108,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,evidence_weighted,100,3,"S,F1,E1_1,E1_2,F2,T","S,F1,E1_1,E1_2,F2,T",2.772588722239781,0.0625,2.0794415416798357,0.125,decoy,false,true,false,0.000108,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,uniform,2,1,"S,F1,R2_1,R2_2,F2,T","S,F1,R2_1,R2_2,F2,T",1.0986122886681098,0.3333333333333333,0.0,1.0,R2,true,false,true,0.000160167,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,uniform,2,2,"S,F1,R3_1,R3_2,F2,T","S,F1,R3_1,R3_2,F2,T",1.0986122886681098,0.3333333333333333,0.0,1.0,R3,true,false,true,0.000160167,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,uniform,5,1,"S,F1,E1_1,E1_2,F2,T","S,F1,E1_1,E1_2,F2,T",1.0986122886681098,0.3333333333333333,0.0,1.0,decoy,false,true,true,0.000348834,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,uniform,5,2,"S,F1,R2_1,R2_2,F2,T","S,F1,R2_1,R2_2,F2,T",1.0986122886681098,0.3333333333333333,0.0,1.0,R2,true,false,true,0.000348834,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,uniform,5,3,"S,F1,R3_1,R3_2,F2,T","S,F1,R3_1,R3_2,F2,T",1.0986122886681098,0.3333333333333333,0.0,1.0,R3,true,false,true,0.000348834,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,uniform,10,1,"S,F1,E1_1,E1_2,F2,T","S,F1,E1_1,E1_2,F2,T",1.0986122886681098,0.3333333333333333,0.0,1.0,decoy,false,true,true,0.000277917,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,uniform,10,2,"S,F1,R2_1,R2_2,F2,T","S,F1,R2_1,R2_2,F2,T",1.0986122886681098,0.3333333333333333,0.0,1.0,R2,true,false,true,0.000277917,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,uniform,10,3,"S,F1,R3_1,R3_2,F2,T","S,F1,R3_1,R3_2,F2,T",1.0986122886681098,0.3333333333333333,0.0,1.0,R3,true,false,true,0.000277917,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,uniform,50,1,"S,F1,E1_1,E1_2,F2,T","S,F1,E1_1,E1_2,F2,T",1.0986122886681098,0.3333333333333333,0.0,1.0,decoy,false,true,true,0.000123958,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,uniform,50,2,"S,F1,R2_1,R2_2,F2,T","S,F1,R2_1,R2_2,F2,T",1.0986122886681098,0.3333333333333333,0.0,1.0,R2,true,false,true,0.000123958,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,uniform,50,3,"S,F1,R3_1,R3_2,F2,T","S,F1,R3_1,R3_2,F2,T",1.0986122886681098,0.3333333333333333,0.0,1.0,R3,true,false,true,0.000123958,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,uniform,100,1,"S,F1,E1_1,E1_2,F2,T","S,F1,E1_1,E1_2,F2,T",1.0986122886681098,0.3333333333333333,0.0,1.0,decoy,false,true,true,0.0001175,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,uniform,100,2,"S,F1,R2_1,R2_2,F2,T","S,F1,R2_1,R2_2,F2,T",1.0986122886681098,0.3333333333333333,0.0,1.0,R2,true,false,true,0.0001175,1424.91015625
1,h2_kshortest_exact_control_20260714,local-smoke,"h2_bubble_graph_synthetic,h2_repeat_choice_graph_synthetic",0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,repeat_choice,repeat_choice,uniform,100,3,"S,F1,R3_1,R3_2,F2,T","S,F1,R3_1,R3_2,F2,T",1.0986122886681098,0.3333333333333333,0.0,1.0,R3,true,false,true,0.0001175,1424.91015625
