benchmark_schema_version,benchmark_run_id,benchmark_scale,benchmark_dataset_ids,benchmark_git_commit,benchmark_dataset_id,dataset_id,dataset_name,category,composite_k,prime_k,composite_recovery,prime_recovery,recovery_delta_prime_minus_composite
1,prime_k_ablation_denovo_local_20260711,local-smoke,"control_nonrepetitive,distinct_repeat_no_collision,palindrome_rich,shared_repeat_collision,tandem_period2_ga,tandem_period3_atg",a029921359d5ac2a5c86b0e418c697c47ebffaa3,tandem_period3_atg,tandem_period3_atg,Period-3 tandem (ATG) core in unique flanks,natural,9,11,0.11428571428571428,0.3333333333333333,0.21904761904761905
1,prime_k_ablation_denovo_local_20260711,local-smoke,"control_nonrepetitive,distinct_repeat_no_collision,palindrome_rich,shared_repeat_collision,tandem_period2_ga,tandem_period3_atg",a029921359d5ac2a5c86b0e418c697c47ebffaa3,tandem_period3_atg,tandem_period3_atg,Period-3 tandem (ATG) core in unique flanks,natural,15,17,1.0,1.0,0.0
1,prime_k_ablation_denovo_local_20260711,local-smoke,"control_nonrepetitive,distinct_repeat_no_collision,palindrome_rich,shared_repeat_collision,tandem_period2_ga,tandem_period3_atg",a029921359d5ac2a5c86b0e418c697c47ebffaa3,tandem_period3_atg,tandem_period3_atg,Period-3 tandem (ATG) core in unique flanks,natural,21,23,1.0,1.0,0.0
1,prime_k_ablation_denovo_local_20260711,local-smoke,"control_nonrepetitive,distinct_repeat_no_collision,palindrome_rich,shared_repeat_collision,tandem_period2_ga,tandem_period3_atg",a029921359d5ac2a5c86b0e418c697c47ebffaa3,tandem_period2_ga,tandem_period2_ga,Period-2 tandem (GA) core in unique flanks,natural,9,11,0.09375,0.2916666666666667,0.19791666666666669
1,prime_k_ablation_denovo_local_20260711,local-smoke,"control_nonrepetitive,distinct_repeat_no_collision,palindrome_rich,shared_repeat_collision,tandem_period2_ga,tandem_period3_atg",a029921359d5ac2a5c86b0e418c697c47ebffaa3,tandem_period2_ga,tandem_period2_ga,Period-2 tandem (GA) core in unique flanks,natural,15,17,0.9895833333333334,1.0,0.01041666666666663
1,prime_k_ablation_denovo_local_20260711,local-smoke,"control_nonrepetitive,distinct_repeat_no_collision,palindrome_rich,shared_repeat_collision,tandem_period2_ga,tandem_period3_atg",a029921359d5ac2a5c86b0e418c697c47ebffaa3,tandem_period2_ga,tandem_period2_ga,Period-2 tandem (GA) core in unique flanks,natural,21,23,1.0,1.0,0.0
1,prime_k_ablation_denovo_local_20260711,local-smoke,"control_nonrepetitive,distinct_repeat_no_collision,palindrome_rich,shared_repeat_collision,tandem_period2_ga,tandem_period3_atg",a029921359d5ac2a5c86b0e418c697c47ebffaa3,palindrome_rich,palindrome_rich,Palindrome-rich inverted-repeat core in unique flanks,natural,9,11,0.7246376811594203,0.7862318840579711,0.061594202898550776
1,prime_k_ablation_denovo_local_20260711,local-smoke,"control_nonrepetitive,distinct_repeat_no_collision,palindrome_rich,shared_repeat_collision,tandem_period2_ga,tandem_period3_atg",a029921359d5ac2a5c86b0e418c697c47ebffaa3,palindrome_rich,palindrome_rich,Palindrome-rich inverted-repeat core in unique flanks,natural,15,17,1.0,1.0,0.0
1,prime_k_ablation_denovo_local_20260711,local-smoke,"control_nonrepetitive,distinct_repeat_no_collision,palindrome_rich,shared_repeat_collision,tandem_period2_ga,tandem_period3_atg",a029921359d5ac2a5c86b0e418c697c47ebffaa3,palindrome_rich,palindrome_rich,Palindrome-rich inverted-repeat core in unique flanks,natural,21,23,1.0,1.0,0.0
1,prime_k_ablation_denovo_local_20260711,local-smoke,"control_nonrepetitive,distinct_repeat_no_collision,palindrome_rich,shared_repeat_collision,tandem_period2_ga,tandem_period3_atg",a029921359d5ac2a5c86b0e418c697c47ebffaa3,control_nonrepetitive,control_nonrepetitive,Non-repetitive control (deterministic pseudo-random),natural,9,11,0.0,0.0,0.0
1,prime_k_ablation_denovo_local_20260711,local-smoke,"control_nonrepetitive,distinct_repeat_no_collision,palindrome_rich,shared_repeat_collision,tandem_period2_ga,tandem_period3_atg",a029921359d5ac2a5c86b0e418c697c47ebffaa3,control_nonrepetitive,control_nonrepetitive,Non-repetitive control (deterministic pseudo-random),natural,15,17,1.0,1.0,0.0
1,prime_k_ablation_denovo_local_20260711,local-smoke,"control_nonrepetitive,distinct_repeat_no_collision,palindrome_rich,shared_repeat_collision,tandem_period2_ga,tandem_period3_atg",a029921359d5ac2a5c86b0e418c697c47ebffaa3,control_nonrepetitive,control_nonrepetitive,Non-repetitive control (deterministic pseudo-random),natural,21,23,1.0,1.0,0.0
1,prime_k_ablation_denovo_local_20260711,local-smoke,"control_nonrepetitive,distinct_repeat_no_collision,palindrome_rich,shared_repeat_collision,tandem_period2_ga,tandem_period3_atg",a029921359d5ac2a5c86b0e418c697c47ebffaa3,shared_repeat_collision,shared_repeat_collision,Positive control (shared): two genes sharing a 9 bp period-3 repeat,collision_shared,9,11,0.20138888888888892,0.6944444444444445,0.4930555555555556
1,prime_k_ablation_denovo_local_20260711,local-smoke,"control_nonrepetitive,distinct_repeat_no_collision,palindrome_rich,shared_repeat_collision,tandem_period2_ga,tandem_period3_atg",a029921359d5ac2a5c86b0e418c697c47ebffaa3,shared_repeat_collision,shared_repeat_collision,Positive control (shared): two genes sharing a 9 bp period-3 repeat,collision_shared,15,17,1.0,1.0,0.0
1,prime_k_ablation_denovo_local_20260711,local-smoke,"control_nonrepetitive,distinct_repeat_no_collision,palindrome_rich,shared_repeat_collision,tandem_period2_ga,tandem_period3_atg",a029921359d5ac2a5c86b0e418c697c47ebffaa3,shared_repeat_collision,shared_repeat_collision,Positive control (shared): two genes sharing a 9 bp period-3 repeat,collision_shared,21,23,1.0,1.0,0.0
1,prime_k_ablation_denovo_local_20260711,local-smoke,"control_nonrepetitive,distinct_repeat_no_collision,palindrome_rich,shared_repeat_collision,tandem_period2_ga,tandem_period3_atg",a029921359d5ac2a5c86b0e418c697c47ebffaa3,distinct_repeat_no_collision,distinct_repeat_no_collision,"Negative control (distinct): same structure, non-shared 9 bp repeats",collision_distinct,9,11,0.47826086956521746,0.6521739130434783,0.1739130434782608
1,prime_k_ablation_denovo_local_20260711,local-smoke,"control_nonrepetitive,distinct_repeat_no_collision,palindrome_rich,shared_repeat_collision,tandem_period2_ga,tandem_period3_atg",a029921359d5ac2a5c86b0e418c697c47ebffaa3,distinct_repeat_no_collision,distinct_repeat_no_collision,"Negative control (distinct): same structure, non-shared 9 bp repeats",collision_distinct,15,17,1.0,1.0,0.0
1,prime_k_ablation_denovo_local_20260711,local-smoke,"control_nonrepetitive,distinct_repeat_no_collision,palindrome_rich,shared_repeat_collision,tandem_period2_ga,tandem_period3_atg",a029921359d5ac2a5c86b0e418c697c47ebffaa3,distinct_repeat_no_collision,distinct_repeat_no_collision,"Negative control (distinct): same structure, non-shared 9 bp repeats",collision_distinct,21,23,1.0,1.0,0.0
