samplenames	location	geo	geo2	duration	date.month	date.start	date.end	season	particle	temperature	humid	weekend	aownership	latitude	longitude
chaoexpo41_I6	Hiking_weekend	uswest	Westcoast	3.036921296	8	2014-08-22	2014-08-25	summer	13.03792065	26.95228594	39.28639049	weekend	P1	37.40988969	-122.1593497
chaoexpo45_I6	Campus	uswest	Westcoast	3.006365741	8	2014-08-26	2014-08-29	summer	6.869258903	23.68170198	47.59405967	weekday	P1	37.40988969	-122.1593497
chaoexpo37_I6	Hiking_weekend	uswest	Westcoast	2.333449074	8	2014-08-29	2014-09-01	summer	9.308863648	25.61566766	42.414037	weekend	P1	37.40988969	-122.1593497
chaoexpo37_I12	Campus	uswest	Westcoast	4.377777778	9	2014-09-01	2014-09-05	fall	10.97765969	24.8851969	44.93461294	weekday	P1	37.40988969	-122.1593497
chaoexpo25_I6	Hiking_weekend	uswest	Westcoast	2.734027778	9	2014-09-05	2014-09-08	fall	32.08957751	25.80524476	46.36067225	weekend	P1	37.40988969	-122.1593497
Expo0308A_I6	Campus	uswest	Westcoast	2.626967593	9	2014-09-08	2014-09-12	fall	11.96316694	24.20366221	44.42831652	weekday	P1	37.40988969	-122.1593497
expo623P1-1_I6	Mike_background	uswest	Westcoast	12.10104167	9	2014-09-05	2014-09-19	fall	7.526909797	22.79953073	44.80868842	weekday	P1	37.4323403	-122.17595
expo624P2-1_I6	Campus	uswest	Westcoast	3.962152778	9	2014-09-12	2014-09-16	fall	8.105629071	25.46487809	42.86120118	weekend	P1	37.40988969	-122.1593497
chaoexpo45_I12	Monterey-CA	uswest	Westcoast	2.779282407	9	2014-09-16	2014-09-19	fall	52.91317203	25.98452088	46.06153334	weekday	P1	36.6111478	-121.8589246
chaoexpo33_I6	Switzerland	europe	Europe	3.370023148	9	2014-09-21	2014-09-24	fall	13.91139197	23.82324052	41.93822509	weekday	P1	47.56139568	7.591244367
chaoexpo45_I15	Germany	europe	Europe	1.591550926	9	2014-09-24	2014-09-26	fall	8.345720311	24.4144442	37.59653116	weekday	P1	48.53129375	9.036554637
chaoexpo23_I6	Hiking_weekend	uswest	Westcoast	2.114467593	9	2014-09-27	2014-09-29	fall	9.382341672	25.96187145	44.62642181	weekday	P1	37.4346639	-122.438491
chaoexpo41_I12	Mike_background	uswest	Westcoast	5.592361111	9	2014-09-27	2014-10-03	fall	7.408067387	24.51098384	42.23007782	weekday	P1	37.40988969	-122.1593497
expo624P1-1_I6	Palm_desert-CA	uswest	Westcoast	0.893402778	9	2014-09-29	2014-10-01	fall	7.201450965	25.03399225	34.45017489	weekday	P1	33.74226913	-116.4074047
chaoexpo29_I6	Spain	europe	Europe	3.007291667	10	2014-10-03	2014-10-08	fall	8.13866759	24.48697257	39.21206173	weekday	P1	40.47047872	-3.617282669
Expo0303A_I6	Palm_beach-CA	uswest	Westcoast	2.068634259	10	2014-10-08	2014-10-11	fall	3.396240139	24.12369874	45.64542606	weekday	P1	26.70728299	-80.06406924
Expo0323A_I6	Campus	uswest	Westcoast	2.861342593	10	2014-10-13	2014-10-16	fall	9.747067389	24.86712246	40.8979856	weekday	P1	37.40988969	-122.1593497
expo021116A_2	San_Diego-CA	uswest	Westcoast	3.575462963	10	2014-10-18	2014-10-22	fall	8.028259744	24.06354507	49.92310631	weekday	P1	32.71074457	-117.169711
chaoexpo35_I6	France	europe	Europe	1.854513889	10	2014-10-22	2014-10-24	fall	7.06790239	25.09619119	32.20782625	weekday	P1	45.89283637	6.168461568
expo623P2-1_I6	Boston-MA	useast	Northeast	1.85787037	10	2014-10-27	2014-10-29	fall	8.077934214	22.36315789	36.25588089	weekday	P1	42.36689094	-71.07552998
chaoexpo37_I15	Campus	uswest	Westcoast	3.010185185	11	2014-10-31	2014-11-03	fall	5.764803138	27.66560847	41.96598354	weekend	P1	37.40988969	-122.1593497
chaoexpo38_I5	Bethesda-MD	useast	Northeast	2.721296296	11	2014-11-04	2014-11-06	fall	188.1930504	23.47935085	20.81976863	weekday	P1	38.99791635	-77.09885595
chaoexpo33_I12	Chapell-NC	useast	Southeast	2.402083333	11	2014-11-05	2014-11-08	fall	4.347499277	28.23157133	41.74661752	weekday	P1	35.77493599	-78.63978259
chaoexpo29_I12	Campus	uswest	Westcoast	4.422685185	11	2014-11-08	2014-11-13	fall	8.075447503	23.42160025	43.35214592	weekday	P1	37.40988969	-122.1593497
Expo0323A_I12	Campus	uswest	Westcoast	4.443981481	11	2014-11-15	2014-11-19	fall	9.62279925	22.07821582	38.28288363	weekday	P1	37.40988969	-122.1593497
Expo0308A_I12	NYC	useast	Northeast	2.385185185	11	2014-11-14	2014-11-21	fall	8.158093944	24.48352446	19.30821526	weekday	P1	40.7848192	-73.9557547
expo624P1-1_I12	P2_work_home	uswest	Westcoast	6.964583333	11	2014-11-17	2014-11-24	fall	8.339664972	24.27821297	48.3011716	weekday	P2	37.4594516	-122.1636314
chaoexpo27_I6	Campus	uswest	Westcoast	4.656018519	11	2014-11-21	2014-11-26	fall	10.44026549	26.70493456	40.90161082	weekday	P1	37.40988969	-122.1593497
chaoexpo23_I12	No2_work_home	uswest	Westcoast	6.695486111	11	2014-11-24	2014-12-01	fall	24.08788397	22.94997889	51.06773151	weekday	Others	37.804	-121.939
chaoexpo35_I12	P2_work_home	uswest	Westcoast	6.770717593	11	2014-11-24	2014-12-01	fall	12.1201559	20.44978778	51.58482196	weekday	P2	37.4594516	-122.1636314
chaoexpo25_I12	Campus-thanksgiving	uswest	Westcoast	4.579050926	11	2014-11-26	2014-12-01	fall	10.00738063	21.59513316	48.98435154	weekday	P1	37.40988969	-122.1593497
expo623P2-1_I12	DC	useast	Northeast	1.981944444	12	2014-12-02	2014-12-04	winter	5.925134314	23.66121593	27.62154286	weekday	P1	38.99791635	-77.09885595
expo021116A_3	P2_work_home	uswest	Westcoast	6.912731481	12	2014-12-01	2014-12-08	winter	7.767622141	21.86115702	53.85739879	weekday	P2	37.4594516	-122.1636314
chaoexpo21_I6	Campus	uswest	Westcoast	2.874305556	12	2014-12-05	2014-12-08	winter	6.583353467	27.59460241	54.39613031	weekend	P1	37.40988969	-122.1593497
Expo0303A_I12	Campus	uswest	Westcoast	3.917361111	12	2014-12-08	2014-12-12	winter	4.702387284	22.64658102	51.3093305	weekday	P1	37.40988969	-122.1593497
expo624P2-1_I15	P2_work_home	uswest	Westcoast	9.627083333	12	2014-12-08	2014-12-18	winter	7.318906442	21.18437466	52.56985862	weekday	P2	37.4594516	-122.1636314
Expo0317A_I6	Campus-christmas	uswest	Westcoast	6.696180556	12	2014-12-12	2014-12-19	winter	15.4406015	26.68790072	46.26140005	weekday	P1	37.40988969	-122.1593497
Expo0303A_I15	Campus	uswest	Westcoast	3.231828704	12	2014-12-19	2014-12-22	winter	7.514808581	22.488021	52.04760592	weekend	P1	37.40988969	-122.1593497
expo623P1-1_I12	Philadephia-PA	useast	Northeast	7.976157407	12	2014-12-18	2014-12-27	winter	20.62577996	22.41470307	35.12528369	weekday	P2	40.6760925	-75.2942097
chaoexpo25_I15	Philadephia-PA	useast	Northeast	3.852546296	12	2014-12-25	2014-12-29	winter	138.3561858	23.76941422	28.77037794	weekend	P1	40.24783815	-75.58747128
chaoexpo31_I6	Yale-Connecticut	useast	Northeast	5.920486111	12	2014-12-23	2015-01-02	winter	12.7338377	23.43471727	29.09825817	weekday	P1	41.75736384	-72.75577191
Expo0308A_I15	Valley_Forge-PA	useast	Northeast	8.698032407	12	2014-12-27	2015-01-05	winter	29.77418797	22.07110899	34.1869862	weekday	P2	40.1005156	-75.4616527
expo021116A_4	Campus	uswest	Westcoast	6.191087963	1	2015-01-02	2015-01-08	winter	11.5768447	21.61140345	37.57605579	weekday	P1	37.40988969	-122.1593497
expo624P1-1_I15	Dallas-TX	uswest	Southwest	10.59016204	1	2015-01-05	2015-01-16	winter	18.69821528	21.13280479	40.6203423	weekday	P2	32.7556215	-97.3324061
chaoexpo38_I6	Campus	uswest	Westcoast	4.424652778	1	2015-01-10	2015-01-16	winter	11.59052029	26.83619208	39.33993565	weekday	P1	37.40988969	-122.1593497
chaoexpo38_I12	Galveston-TX	uswest	Southwest	0.603587963	1	2015-01-13	2015-01-13	winter	5.506615532	24.75194954	30.19407478	weekday	P1	29.26963621	-94.82190697
chaoexpo29_I15	Campus	uswest	Westcoast	5.129513889	1	2015-01-16	2015-01-22	winter	12.62848891	23.27915626	43.06367698	weekday	P1	37.40988969	-122.1593497
chaoexpo33_I15	P2_work_home	uswest	Westcoast	9.377083333	1	2015-01-16	2015-01-26	winter	28.55932015	22.37664708	44.41871313	weekday	P2	37.4594516	-122.1636314
chaoexpo41_I15	San_Diego-CA	uswest	Westcoast	1.864236111	1	2015-01-23	2015-01-24	winter	7.538771963	23.37457281	27.91462718	weekday	P1	32.90161091	-117.2441403
expo624P2-1_I12	Campus	uswest	Westcoast	5.752893519	1	2015-01-23	2015-01-29	winter	10.59014184	26.44872626	38.82109245	weekday	P1	37.40988969	-122.1593497
chaoexpo35_I15	SF-CA	uswest	Westcoast	1.545949074	1	2015-01-30	2015-02-01	winter	11.51366325	25.9387682	36.14836415	weekday	P1	37.83655946	-122.4802193
expo623P2-1_I15	P2_work_home	uswest	Westcoast	9.796643519	2	2015-01-26	2015-02-06	winter	8.77272781	20.987333	44.13452973	weekday	P2	37.4594516	-122.1636314
Expo0324A_I6	Campus	uswest	Westcoast	3.664699074	2	2015-02-02	2015-02-06	winter	9.086978492	28.44556171	40.18288223	weekday	P1	37.40988969	-122.1593497
chaoexpo23_I15	Campus	uswest	Westcoast	3.92662037	2	2015-02-06	2015-02-10	winter	19.788245	22.57727621	51.02360726	weekend	P1	37.40988969	-122.1593497
chaoexpo42_I5	P2_work_home	uswest	Westcoast	6.052662037	2	2015-02-06	2015-02-12	winter	16.71219046	23.87863395	47.8912114	weekday	P2	37.4594516	-122.1636314
Expo0323A_I15	Singapore	oceania	Oceania	1.938888889	2	2015-02-12	2015-02-14	winter	7.850823782	29.3025	49.37554322	weekday	P1	1.293388301	103.8595425
chaoexpo27_I12	Lake_Tahoe-CA	uswest	Westcoast	4.179976852	2	2015-02-12	2015-02-19	winter	8.248954728	20.00351022	44.81790946	weekday	P2	39.1825082	-120.132096
expo624P1-2_I5	Australia	oceania	Oceania	6.051851852	2	2015-02-14	2015-02-20	winter	9.785266218	27.61980453	43.91900436	weekday	P1	-38.53700901	143.9762657
Chao-expo20_I5	Campus	uswest	Westcoast	3.527662037	2	2015-02-20	2015-02-24	winter	8.940680469	22.9393015	36.8254011	weekend	P1	37.40988969	-122.1593497
Expo0303B_I5	P2_work_home	uswest	Westcoast	10.23287037	2	2015-02-19	2015-03-02	winter	21.01282631	23.50115134	39.34694272	weekday	P2	37.4594516	-122.1636314
chaoexpo27_I15	Campus	uswest	Westcoast	3.307523148	2	2015-02-24	2015-02-27	winter	5.702173076	27.52588987	34.32025755	weekday	P1	37.40988969	-122.1593497
chaoexpo38_I15	Belgium	europe	Europe	2.040162037	3	2015-02-28	2015-03-02	spring	8.743007886	19.3	27.30051058	weekday	P1	51.1439564	3.245363404
chaoexpo36_I5	Campus	uswest	Westcoast	5.161111111	3	2015-03-04	2015-03-09	spring	13.84571224	23.83955454	35.97316335	weekday	P1	37.40988969	-122.1593497
chaoexpo34_I5	Tucson-AZ	uswest	Southwest	12.84664352	3	2015-03-02	2015-03-16	spring	9.582206406	22.64467443	35.96990315	weekday	P2	32.2156971	-111.048771
expo021116B_5	DC	useast	Northeast	1.863194444	3	2015-03-10	2015-03-12	spring	9.116908933	24.25086415	29.66160393	weekday	P1	38.99791635	-77.09885595
chaoexpo30_I5	Malaysia	oceania	Oceania	4.368981481	3	2015-03-12	2015-03-17	spring	14.43064533	30.38847803	39.78583766	weekend	P1	3.153275795	101.7150945
chaoexpo39_I5	P2_work_home	uswest	Westcoast	6.659259259	3	2015-03-16	2015-03-23	spring	27.65817923	23.89388352	40.89288793	weekday	P2	37.4594516	-122.1636314
chaoexpo21_I12	Campus	uswest	Westcoast	5.355902778	3	2015-03-17	2015-03-23	spring	124.0618909	20.47028512	35.59523933	weekday	P1	37.40988969	-122.1593497
Expo0324A_I12	Sweden	europe	Europe	1.167013889	3	2015-03-23	2015-03-25	spring	4.054249727	25.42130564	21.73127046	weekday	P1	59.85625072	17.6406181
chaoexpo26_I5	P2_work_home	uswest	Westcoast	6.094444444	3	2015-03-23	2015-03-30	spring	8.933644789	22.58588309	41.67453282	weekday	P2	37.4594516	-122.1636314
expo623P2-2_I5	UK	europe	Europe	3.506712963	3	2015-03-25	2015-03-28	spring	10.38226946	29.77232425	23.8343125	weekday	P1	52.08168161	0.184862265
Expo0317A_I12	Campus	uswest	Westcoast	4.999189815	3	2015-03-29	2015-04-03	spring	7.288102239	26.2169317	33.15861366	weekday	P1	37.40988969	-122.1593497
Expo0308B_I5	Reno-NV	uswest	Westcoast	9.492361111	4	2015-03-30	2015-04-09	spring	11.03716439	23.49572877	33.48974565	weekday	P2	39.4757191	-119.7786747
chaoexpo24_I5	Mike_background	uswest	Westcoast	10.9087963	4	2015-03-30	2015-04-10	spring	1.795696643	21.85066497	29.46767496	weekday	P1	37.4323403	-122.17595
chaoexpo42_I6	Campus	uswest	Westcoast	6.546990741	4	2015-04-03	2015-04-10	spring	7.360463883	26.90957821	33.12079341	weekday	P1	37.40988969	-122.1593497
chaoexpo42_I12	Campus	uswest	Westcoast	4.966319444	4	2015-04-10	2015-04-15	spring	8.533268079	24.57334119	33.90175022	weekday	P1	37.40988969	-122.1593497
chaoexpo46_I5	TOOMANY	useast	Northeast	6.677430556	4	2015-04-09	2015-04-20	spring	9.599084811	23.80072584	29.89107517	weekday	P2	NA	NA
chaoexpo42_I15	Austin-TX	uswest	Southwest	1.570486111	4	2015-04-15	2015-04-17	spring	11.03449038	29.00341711	42.43325964	weekday	P1	30.28826892	-97.73700925
chaoexpo46_I6	Campus	uswest	Westcoast	5.619675926	4	2015-04-14	2015-04-20	spring	15.75588005	26.4131493	37.68188615	weekday	Others	37.40988969	-122.1593497
chaoexpo39_I6	Mike_background	uswest	Westcoast	16.903125	4	2015-04-10	2015-04-27	spring	8.670412139	25.49602597	33.63866601	weekday	P1	37.4323403	-122.17595
chaoexpo39_I12	Campus	uswest	Westcoast	4.028819444	4	2015-04-17	2015-04-21	spring	16.61058922	23.78319274	39.20489529	weekend	P1	37.40988969	-122.1593497
chaoexpo43_I5	Philadephia-PA	useast	Northeast	1.939236111	4	2015-04-21	2015-04-23	spring	0.265711728	29.40346367	23.98380782	weekday	P1	39.91220532	-75.18420641
Chao-expo20_I6	Mike_background	uswest	Westcoast	17.82152778	4	2015-04-17	2015-05-05	spring	7.480529686	24.62546143	34.20464807	weekday	Others	37.4323403	-122.17595
chaoexpo36_I6	Campus	uswest	Westcoast	3.915509259	4	2015-04-24	2015-04-28	spring	9.250517292	24.97782982	33.82167307	weekend	P1	37.40988969	-122.1593497
expo623P1-1_I15	Reno-NV	uswest	Westcoast	11.86689815	4	2015-04-20	2015-05-04	spring	12.35481323	23.67365128	36.5353282	weekday	P2	39.4757191	-119.7786747
chaoexpo30_I6	Campus	uswest	Westcoast	4.52974537	4	2015-04-28	2015-05-03	spring	12.16580218	28.2002981	37.46175742	weekday	P1	37.40988969	-122.1593497
chaoexpo34_I6	Cleveland-OH	useast	Northeast	1.834953704	5	2015-05-03	2015-05-05	spring	7.108300744	24.51030189	33.66470291	weekday	P1	41.51086527	-81.60794985
expo624P1-2_I6	CSH-NY	useast	Northeast	1.735185185	5	2015-05-05	2015-05-07	spring	10.35545624	28.37579808	29.14411019	weekday	P1	40.85864131	-73.4679735
Expo0323B_I5	Germany	europe	Europe	3.318981481	5	2015-05-07	2015-05-10	spring	6.600606779	24.77357605	32.42563468	weekday	P1	49.37030239	8.705762353
Expo0317A_I15	Reno-NV	uswest	Westcoast	8.026273148	5	2015-05-04	2015-05-18	spring	7.616061257	23.77934084	43.03204176	weekday	P2	39.4757191	-119.7786747
Expo0324A_I15	Mike_background	uswest	Westcoast	12.92013889	5	2015-05-05	2015-05-18	spring	5.104049091	25.38949188	30.31786079	weekday	Others	37.4323403	-122.17595
chaoexpo26_I6	San_Diego-CA	uswest	Westcoast	0.610185185	5	2015-05-11	2015-05-12	spring	12.69783763	23.54259784	40.41619879	weekday	P1	32.887094	-117.24494
chaoexpo24_I6	Campus	uswest	Westcoast	4.906018519	5	2015-05-11	2015-05-17	spring	6.773426441	27.0280493	38.9607035	weekday	P1	37.40988969	-122.1593497
expo623P2-2_I6	TOOMANY	useast	Northeast	1.370023148	5	2015-05-17	2015-05-19	spring	3.442679733	25.14412434	28.06780434	weekday	P1	NA	NA
Expo0308B_I6	Campus	uswest	Westcoast	6.408912037	5	2015-05-19	2015-05-26	spring	5.217380312	24.30008291	39.08884655	weekday	P1	37.40988969	-122.1593497
chaoexpo53_I12	Mike_background	uswest	Westcoast	13.91967593	5	2015-05-18	2015-06-01	spring	5.946842832	26.97375687	32.10301748	weekday	Others	37.4323403	-122.17595
Expo0303B_I6	P2_work_home	uswest	Westcoast	11.95821759	5	2015-05-18	2015-06-02	spring	17.62796775	24.82093528	41.85671271	weekday	P2	37.4594516	-122.1636314
chaoexpo53_I6	Houston-TX	uswest	Southwest	1.350578704	5	2015-05-26	2015-05-27	spring	10.18853372	29.31056139	41.01059217	weekday	P1	29.54834436	-95.09155932
chaoexpo21_I15	Campus	uswest	Westcoast	3.168518519	5	2015-05-28	2015-05-31	spring	8.693636762	24.55504427	40.97863822	weekday	P1	37.40988969	-122.1593497
chaoexpo49_I6	New_Orleans-LA	uswest	Southwest	1.889351852	6	2015-05-31	2015-06-02	summer	7.185555011	28.1392412	48.08232051	weekday	P1	29.94850673	-90.0668881
chaoexpo43_I6	Campus	uswest	Westcoast	12.93414352	6	2015-05-28	2015-06-10	summer	6.822605614	24.53761043	43.16692647	weekday	P8	37.40988969	-122.1593497
chaoexpo53_I15	Campus	uswest	Westcoast	12.82291667	6	2015-05-28	2015-06-10	summer	9.366395884	24.71409516	45.43079881	weekday	Others	37.40988969	-122.1593497
chaoexpo46_I12	Campus	uswest	Westcoast	4.906597222	6	2015-06-04	2015-06-09	summer	10.45884934	27.7939642	40.54437525	weekend	P1	37.40988969	-122.1593497
expo021116B_6	P2_work_home	uswest	Westcoast	8.432175926	6	2015-06-02	2015-06-12	summer	10.49726851	24.78397733	43.78937738	weekday	P2	37.4594516	-122.1636314
chaoexpo49_I12	Michigan	useast	Northeast	3.329050926	6	2015-06-11	2015-06-14	summer	8.283176303	24.03274051	46.99480235	weekday	P1	43.68614401	-86.385782
chaoexpo54_I5	Campus	uswest	Westcoast	4.81412037	6	2015-06-14	2015-06-19	summer	15.22755686	24.23183251	41.5045271	weekday	P1	37.40988969	-122.1593497
chaoexpo40_I5	Boston-MA	useast	Northeast	4.184027778	6	2015-06-19	2015-06-24	summer	7.585726141	24.99486097	48.81632089	weekday	P1	42.47350702	-71.60669408
chaoexpo39_I15	Bethesda-MD	useast	Northeast	2.500578704	6	2015-06-24	2015-06-27	summer	9.780791483	30.20800332	36.38601713	weekday	P1	38.99791635	-77.09885595
chaoexpo46_I15	Campus	uswest	Westcoast	5.732291667	6	2015-06-26	2015-07-02	summer	7.243382397	29.44405316	39.5914168	weekday	P1	37.40988969	-122.1593497
expo021116B_7	China	asia	Asia	3.899884259	7	2015-07-01	2015-07-05	summer	28.55853984	30.66944592	34.49149429	weekday	P8	39.3433574	117.3616476
expo624P1-2_I12	Norway	europe	Europe	7.858912037	7	2015-07-03	2015-07-12	summer	9.129453174	24.17006212	41.26785909	weekday	P1	59.92982294	10.72748498
chaoexpo22_I5	China	asia	Asia	1.829166667	7	2015-07-05	2015-07-08	summer	28.33877499	29.95394662	38.73516831	weekday	P8	24.880095	102.832891
Expo0303B_I12	China	asia	Asia	2.178009259	7	2015-07-09	2015-07-11	summer	66.49808694	32.58977742	42.57604421	weekday	P8	39.3433574	117.3616476
chaoexpo43_I12	China	asia	Asia	1.47037037	7	2015-07-11	2015-07-13	summer	55.70733627	27.05987756	41.06351543	weekday	P8	39.3433574	117.3616476
expo623P2-2_I12	Norway	europe	Europe	6.452199074	7	2015-07-12	2015-07-18	summer	15.19647694	28.53770295	36.27179938	weekday	P1	63.43591177	10.40676598
chaoexpo54_I6	Campus	uswest	Westcoast	3.846412037	7	2015-07-20	2015-07-24	summer	7.051123883	29.28915286	37.8070442	weekday	P1	37.40988969	-122.1593497
chaoexpo26_I12	Campus	uswest	Westcoast	5.639467593	7	2015-07-24	2015-08-02	summer	7.227398666	28.53682078	36.43521806	weekday	P1	37.40988969	-122.1593497
chaoexpo24_I12	Iowa_city-IA	useast	Northeast	1.653819444	7	2015-07-30	2015-08-01	summer	5.0060886	23.66531296	38.21246413	weekday	P1	41.66315887	-91.54413738
expo623P1-2_I5	Canada	uswest	Westcoast	3.160300926	8	2015-08-02	2015-08-05	summer	9.650210584	30.27053796	30.53976927	weekday	P1	51.17311515	-115.5629289
Expo0324B_I5	Campus	uswest	Westcoast	4.79212963	8	2015-08-06	2015-08-11	summer	10.90860786	24.18716133	45.81211719	weekend	P1	37.40988969	-122.1593497
Expo0317B_I5	Campus	uswest	Westcoast	4.689583333	8	2015-08-11	2015-08-16	summer	5.964238116	28.68041969	37.95716719	weekday	P1	37.40988969	-122.1593497
Chao-expo20_I15	China	asia	Asia	3.003240741	8	2015-08-17	2015-08-20	summer	13.66452135	31.5302638	44.00316402	weekday	P1	30.63191974	104.0747304
Expo0303B_I15	Pediatric-background	uswest	Westcoast	2.012268519	8	2015-08-21	2015-08-23	summer	3.960427931	30.09657605	42.08908317	weekday	Others	37.4323403	-122.17595
Expo0308B_I12	Campus	uswest	Westcoast	5.665625	8	2015-08-20	2015-08-26	summer	9.486057486	31.59592458	34.97135094	weekday	P1	37.40988969	-122.1593497
expo021116B_8	Chicago-IL	useast	Northeast	2.233333333	8	2015-08-27	2015-08-29	summer	7.63422471	24.66937985	41.09880804	weekday	P1	40.00308734	-83.03707693
chaoexpo36_I12	Campus	uswest	Westcoast	2.870601852	8	2015-08-29	2015-09-01	summer	10.16772841	28.24533173	39.80623337	weekday	P1	37.40988969	-122.1593497
chaoexpo47_I5	P2_work_home	uswest	Westcoast	5.522800926	9	2015-09-09	2015-09-15	fall	6.131211099	28.32795888	37.77183603	weekday	P2	37.4594516	-122.1636314
chaoexpo43_I15	Richland-WA	uswest	Westcoast	1.387037037	9	2015-09-13	2015-09-15	fall	20.60689252	28.22612936	26.67918057	weekday	P1	46.2182106	-119.2172538
chaoexpo31_I12	Monterey-CA	uswest	Westcoast	2.005902778	9	2015-09-16	2015-09-18	fall	16.68836189	29.19248453	40.30811263	weekday	P1	36.6111478	-121.8589246
chaoexpo40_I6	Reno-NV	uswest	Westcoast	6.585763889	9	2015-09-15	2015-09-22	fall	7.773747386	25.27340308	40.01471152	weekday	P2	39.4757191	-119.7786747
chaoexpo47_I6	Campus	uswest	Westcoast	5.718981481	9	2015-09-19	2015-09-25	fall	11.44003481	27.02793316	35.85252975	weekday	P1	37.40988969	-122.1593497
chaoexpo26_I15	Xin_office-background	uswest	Westcoast	5.993171296	9	2015-09-22	2015-09-28	fall	6.363820706	28.21394072	37.63807381	weekday	Others	37.4087126	-122.1498307
Expo0324B_I6	Xin_office-background	uswest	Westcoast	5.992013889	9	2015-09-22	2015-09-28	fall	4.667960827	29.11095186	37.46141662	weekday	Others	37.4087126	-122.1498307
chaoexpo34_I12	P2_work_home	uswest	Westcoast	6.884837963	9	2015-09-22	2015-09-29	fall	7.284458267	23.96847055	41.98411196	weekday	P2	37.4594516	-122.1636314
chaoexpo30_I12	Canada	uswest	Westcoast	3.237268519	9	2015-09-27	2015-10-01	fall	7.453307115	23.50606352	41.12293171	weekday	P1	49.28833882	-123.1124077
chaoexpo36_I15	Lexington-KY	useast	Northeast	2.009027778	10	2015-10-01	2015-10-03	fall	10.85626224	28.63973991	32.53515958	weekday	P1	38.0498426	-84.50129234
chaoexpo28_I6	P2_work_home	uswest	Westcoast	7.064583333	10	2015-09-29	2015-10-06	fall	8.099200498	25.32268784	45.75404174	weekday	P2	37.4594516	-122.1636314
expo623P1-2_I6	Mike_background	uswest	Westcoast	13.890625	10	2015-09-28	2015-10-12	fall	5.362254718	24.07608186	43.38583344	weekday	Others	37.4323403	-122.17595
chaoexpo40_I12	Baltimore-MD	useast	Northeast	4.179050926	10	2015-10-05	2015-10-09	fall	7.304622372	25.02752009	41.1276733	weekday	P1	39.28352897	-76.60172713
Expo0317B_I6	Boston-MA	useast	Northeast	1.869560185	10	2015-10-09	2015-10-11	fall	4.397016034	27.9827963	33.78858416	weekday	P1	42.37213961	-71.12296395
