"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX17380290","shotgun metagenomic sequencing of university campus sewer: BAS_5","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939469","","482.15","1","5165052","1559845704","BAS_5","WGS","METAGENOMIC","RANDOM"
"SRX17380289","shotgun metagenomic sequencing of university campus sewer: BAK_13","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939467","","578.73","1","6362062","1921342724","BAK_13","WGS","METAGENOMIC","RANDOM"
"SRX17380288","shotgun metagenomic sequencing of university campus sewer: BAS_3","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939465","","672.47","1","6930982","2093156564","BAS_3","WGS","METAGENOMIC","RANDOM"
"SRX17380287","shotgun metagenomic sequencing of university campus sewer: WEB_10","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939466","","419.98","1","4404836","1330260472","WEB_10","WGS","METAGENOMIC","RANDOM"
"SRX17380286","shotgun metagenomic sequencing of university campus sewer: STE_8","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939464","","466.72","1","5007438","1512246276","STE_8","WGS","METAGENOMIC","RANDOM"
"SRX17380285","shotgun metagenomic sequencing of university campus sewer: STE_6","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939463","","553.71","1","5946239","1795764178","STE_6","WGS","METAGENOMIC","RANDOM"
"SRX17380284","shotgun metagenomic sequencing of university campus sewer: STE_5","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939462","","549.83","1","5727229","1729623158","STE_5","WGS","METAGENOMIC","RANDOM"
"SRX17380283","shotgun metagenomic sequencing of university campus sewer: STE_3","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939461","","516.83","1","5591340","1688584680","STE_3","WGS","METAGENOMIC","RANDOM"
"SRX17380282","shotgun metagenomic sequencing of university campus sewer: STE_20","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939460","","264.46","1","2853113","861640126","STE_20","WGS","METAGENOMIC","RANDOM"
"SRX17380281","shotgun metagenomic sequencing of university campus sewer: BAS_19","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939459","","305.31","1","2966652","895928904","BAS_19","WGS","METAGENOMIC","RANDOM"
"SRX17380280","shotgun metagenomic sequencing of university campus sewer: STE_1","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939458","","301.59","1","3237022","977580644","STE_1","WGS","METAGENOMIC","RANDOM"
"SRX17380279","shotgun metagenomic sequencing of university campus sewer: STE_19","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939457","","313.34","1","3256759","983541218","STE_19","WGS","METAGENOMIC","RANDOM"
"SRX17380278","shotgun metagenomic sequencing of university campus sewer: STE_17","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939456","","383.56","1","3962010","1196527020","STE_17","WGS","METAGENOMIC","RANDOM"
"SRX17380277","shotgun metagenomic sequencing of university campus sewer: STE_15","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939455","","173.93","1","1853631","559796562","STE_15","WGS","METAGENOMIC","RANDOM"
"SRX17380276","shotgun metagenomic sequencing of university campus sewer: STE_13","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939454","","255.19","1","2607643","787508186","STE_13","WGS","METAGENOMIC","RANDOM"
"SRX17380275","shotgun metagenomic sequencing of university campus sewer: STE_12","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939453","","438.82","1","4679078","1413081556","STE_12","WGS","METAGENOMIC","RANDOM"
"SRX17380274","shotgun metagenomic sequencing of university campus sewer: STE_10","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939452","","532.69","1","5720907","1727713914","STE_10","WGS","METAGENOMIC","RANDOM"
"SRX17380273","shotgun metagenomic sequencing of university campus sewer: SEW_8","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939451","","535.27","1","5858975","1769410450","SEW_8","WGS","METAGENOMIC","RANDOM"
"SRX17380272","shotgun metagenomic sequencing of university campus sewer: SEW_6","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939450","","626.71","1","6564923","1982606746","SEW_6","WGS","METAGENOMIC","RANDOM"
"SRX17380271","shotgun metagenomic sequencing of university campus sewer: SEW_5","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939449","","615.5","1","6777934","2046936068","SEW_5","WGS","METAGENOMIC","RANDOM"
"SRX17380270","shotgun metagenomic sequencing of university campus sewer: BAS_17","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939448","","514.38","1","5166363","1560241626","BAS_17","WGS","METAGENOMIC","RANDOM"
"SRX17380269","shotgun metagenomic sequencing of university campus sewer: SEW_20","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939447","","317.77","1","3382274","1021446748","SEW_20","WGS","METAGENOMIC","RANDOM"
"SRX17380268","shotgun metagenomic sequencing of university campus sewer: SEW_19","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939446","","274.38","1","2818476","851179752","SEW_19","WGS","METAGENOMIC","RANDOM"
"SRX17380267","shotgun metagenomic sequencing of university campus sewer: SEW_17","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939445","","349.81","1","3705802","1119152204","SEW_17","WGS","METAGENOMIC","RANDOM"
"SRX17380266","shotgun metagenomic sequencing of university campus sewer: SEW_15","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939444","","556.62","1","5532540","1670827080","SEW_15","WGS","METAGENOMIC","RANDOM"
"SRX17380265","shotgun metagenomic sequencing of university campus sewer: SEW_13","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939443","","424.06","1","4588439","1385708578","SEW_13","WGS","METAGENOMIC","RANDOM"
"SRX17380264","shotgun metagenomic sequencing of university campus sewer: SEW_12","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939441","","691.66","1","7230116","2183495032","SEW_12","WGS","METAGENOMIC","RANDOM"
"SRX17380263","shotgun metagenomic sequencing of university campus sewer: FAR_12","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939442","","500.44","1","5438592","1642454784","FAR_12","WGS","METAGENOMIC","RANDOM"
"SRX17380262","shotgun metagenomic sequencing of university campus sewer: FAR_10","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939440","","516.2","1","5665458","1710968316","FAR_10","WGS","METAGENOMIC","RANDOM"
"SRX17380261","shotgun metagenomic sequencing of university campus sewer: DAR_8","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939439","","575.51","1","6215541","1877093382","DAR_8","WGS","METAGENOMIC","RANDOM"
"SRX17380260","shotgun metagenomic sequencing of university campus sewer: DAR_6","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939438","","555.51","1","5956655","1798909810","DAR_6","WGS","METAGENOMIC","RANDOM"
"SRX17380259","shotgun metagenomic sequencing of university campus sewer: BAK_3","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939437","","653.68","1","7137180","2155428360","BAK_3","WGS","METAGENOMIC","RANDOM"
"SRX17380258","shotgun metagenomic sequencing of university campus sewer: DAR_5","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939436","","428.07","1","4580199","1383220098","DAR_5","WGS","METAGENOMIC","RANDOM"
"SRX17380257","shotgun metagenomic sequencing of university campus sewer: DAR_3","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939435","","498.54","1","5390114","1627814428","DAR_3","WGS","METAGENOMIC","RANDOM"
"SRX17380256","shotgun metagenomic sequencing of university campus sewer: DAR_20","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939434","","881.54","1","9691794","2926921788","DAR_20","WGS","METAGENOMIC","RANDOM"
"SRX17380255","shotgun metagenomic sequencing of university campus sewer: DAR_1","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939433","","524.99","1","5750510","1736654020","DAR_1","WGS","METAGENOMIC","RANDOM"
"SRX17380254","shotgun metagenomic sequencing of university campus sewer: DAR_19","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939432","","182.37","1","1933858","584025116","DAR_19","WGS","METAGENOMIC","RANDOM"
"SRX17380253","shotgun metagenomic sequencing of university campus sewer: DAR_17","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939431","","452.08","1","4632338","1398966076","DAR_17","WGS","METAGENOMIC","RANDOM"
"SRX17380252","shotgun metagenomic sequencing of university campus sewer: DAR_15","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939430","","184.48","1","1975571","596622442","DAR_15","WGS","METAGENOMIC","RANDOM"
"SRX17380251","shotgun metagenomic sequencing of university campus sewer: DAR_13","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939428","","527.26","1","5559585","1678994670","DAR_13","WGS","METAGENOMIC","RANDOM"
"SRX17380250","shotgun metagenomic sequencing of university campus sewer: DAR_12","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939429","","834.35","1","9158137","2765757374","DAR_12","WGS","METAGENOMIC","RANDOM"
"SRX17380249","shotgun metagenomic sequencing of university campus sewer: DAR_10","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939427","","424.95","1","4492476","1356727752","DAR_10","WGS","METAGENOMIC","RANDOM"
"SRX17380248","shotgun metagenomic sequencing of university campus sewer: BAK_20","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939426","","535.46","1","5787733","1747895366","BAK_20","WGS","METAGENOMIC","RANDOM"
"SRX17380247","shotgun metagenomic sequencing of university campus sewer: CRR_8","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939425","","1123.04","1","12058020","3641522040","CRR_8","WGS","METAGENOMIC","RANDOM"
"SRX17380246","shotgun metagenomic sequencing of university campus sewer: CRR_6","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939424","","831.3","1","8830740","2666883480","CRR_6","WGS","METAGENOMIC","RANDOM"
"SRX17380245","shotgun metagenomic sequencing of university campus sewer: CRR_5","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939423","","544.58","1","5623146","1698190092","CRR_5","WGS","METAGENOMIC","RANDOM"
"SRX17380244","shotgun metagenomic sequencing of university campus sewer: CRR_20","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939422","","587.77","1","6195382","1871005364","CRR_20","WGS","METAGENOMIC","RANDOM"
"SRX17380243","shotgun metagenomic sequencing of university campus sewer: CRR_1","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939420","","838.85","1","8985126","2713508052","CRR_1","WGS","METAGENOMIC","RANDOM"
"SRX17380242","shotgun metagenomic sequencing of university campus sewer: CRR_19","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939421","","475.44","1","5076438","1533084276","CRR_19","WGS","METAGENOMIC","RANDOM"
"SRX17380241","shotgun metagenomic sequencing of university campus sewer: CRR_17","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939418","","197.41","1","2127428","642483256","CRR_17","WGS","METAGENOMIC","RANDOM"
"SRX17380240","shotgun metagenomic sequencing of university campus sewer: CRR_15","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939419","","672.13","1","7210112","2177453824","CRR_15","WGS","METAGENOMIC","RANDOM"
"SRX17380239","shotgun metagenomic sequencing of university campus sewer: CRR_13","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939417","","247.94","1","2500468","755141336","CRR_13","WGS","METAGENOMIC","RANDOM"
"SRX17380238","shotgun metagenomic sequencing of university campus sewer: CRR_12","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939416","","519.61","1","5640925","1703559350","CRR_12","WGS","METAGENOMIC","RANDOM"
"SRX17380237","shotgun metagenomic sequencing of university campus sewer: BAK_1","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939415","","574.79","1","6031121","1821398542","BAK_1","WGS","METAGENOMIC","RANDOM"
"SRX17380236","shotgun metagenomic sequencing of university campus sewer: CRR_10","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939414","","484.06","1","5259403","1588339706","CRR_10","WGS","METAGENOMIC","RANDOM"
"SRX17380235","shotgun metagenomic sequencing of university campus sewer: COC_8","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939413","","684.46","1","7487762","2261304124","COC_8","WGS","METAGENOMIC","RANDOM"
"SRX17380234","shotgun metagenomic sequencing of university campus sewer: COC_6","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939412","","656.28","1","7206636","2176404072","COC_6","WGS","METAGENOMIC","RANDOM"
"SRX17380233","shotgun metagenomic sequencing of university campus sewer: COC_5","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939411","","716.79","1","7888242","2382249084","COC_5","WGS","METAGENOMIC","RANDOM"
"SRX17380232","shotgun metagenomic sequencing of university campus sewer: COC_3","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939410","","451","1","4708695","1422025890","COC_3","WGS","METAGENOMIC","RANDOM"
"SRX17380231","shotgun metagenomic sequencing of university campus sewer: COC_20","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939409","","636.54","1","7040158","2126127716","COC_20","WGS","METAGENOMIC","RANDOM"
"SRX17380230","shotgun metagenomic sequencing of university campus sewer: COC_1","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939408","","521.37","1","5717824","1726782848","COC_1","WGS","METAGENOMIC","RANDOM"
"SRX17380229","shotgun metagenomic sequencing of university campus sewer: COC_19","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939407","","346.68","1","3667747","1107659594","COC_19","WGS","METAGENOMIC","RANDOM"
"SRX17380228","shotgun metagenomic sequencing of university campus sewer: COC_17","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939406","","499.34","1","5457100","1648044200","COC_17","WGS","METAGENOMIC","RANDOM"
