"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX17380227","shotgun metagenomic sequencing of university campus sewer: COC_15","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939405","","439.98","1","4844702","1463100004","COC_15","WGS","METAGENOMIC","RANDOM"
"SRX17380226","shotgun metagenomic sequencing of university campus sewer: BAK_19","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939404","","196.97","1","2003833","605157566","BAK_19","WGS","METAGENOMIC","RANDOM"
"SRX17380225","shotgun metagenomic sequencing of university campus sewer: COC_13","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939403","","398.28","1","4131438","1247694276","COC_13","WGS","METAGENOMIC","RANDOM"
"SRX17380224","shotgun metagenomic sequencing of university campus sewer: COC_12","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939402","","884.58","1","9549757","2884026614","COC_12","WGS","METAGENOMIC","RANDOM"
"SRX17380223","shotgun metagenomic sequencing of university campus sewer: COC_10","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939401","","735.17","1","8144897","2459758894","COC_10","WGS","METAGENOMIC","RANDOM"
"SRX17380222","shotgun metagenomic sequencing of university campus sewer: CHE_8","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939400","","711.7","1","7376494","2227701188","CHE_8","WGS","METAGENOMIC","RANDOM"
"SRX17380221","shotgun metagenomic sequencing of university campus sewer: CHE_6","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939399","","657.02","1","7267354","2194740908","CHE_6","WGS","METAGENOMIC","RANDOM"
"SRX17380220","shotgun metagenomic sequencing of university campus sewer: CHE_5","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939398","","658.06","1","7255427","2191138954","CHE_5","WGS","METAGENOMIC","RANDOM"
"SRX17380219","shotgun metagenomic sequencing of university campus sewer: CHE_3","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939397","","695.76","1","7388122","2231212844","CHE_3","WGS","METAGENOMIC","RANDOM"
"SRX17380218","shotgun metagenomic sequencing of university campus sewer: CHE_20","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939396","","538.13","1","5796224","1750459648","CHE_20","WGS","METAGENOMIC","RANDOM"
"SRX17380217","shotgun metagenomic sequencing of university campus sewer: CHE_1","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939395","","502.78","1","5505112","1662543824","CHE_1","WGS","METAGENOMIC","RANDOM"
"SRX17380216","shotgun metagenomic sequencing of university campus sewer: CHE_19","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939394","","220.03","1","2335683","705376266","CHE_19","WGS","METAGENOMIC","RANDOM"
"SRX17380215","shotgun metagenomic sequencing of university campus sewer: LAC_8","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939393","","468.58","1","4909890","1482786780","LAC_8","WGS","METAGENOMIC","RANDOM"
"SRX17380214","shotgun metagenomic sequencing of university campus sewer: LAC_6","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939392","","664.97","1","7274228","2196816856","LAC_6","WGS","METAGENOMIC","RANDOM"
"SRX17380213","shotgun metagenomic sequencing of university campus sewer: BAS_12","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939391","","470.5","1","5070304","1531231808","BAS_12","WGS","METAGENOMIC","RANDOM"
"SRX17380212","shotgun metagenomic sequencing of university campus sewer: LAC_5","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939390","","509.18","1","5307620","1602901240","LAC_5","WGS","METAGENOMIC","RANDOM"
"SRX17380211","shotgun metagenomic sequencing of university campus sewer: LAC_3","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939389","","577.22","1","6208441","1874949182","LAC_3","WGS","METAGENOMIC","RANDOM"
"SRX17380210","shotgun metagenomic sequencing of university campus sewer: LAC_20","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939388","","448.32","1","4764518","1438884436","LAC_20","WGS","METAGENOMIC","RANDOM"
"SRX17380209","shotgun metagenomic sequencing of university campus sewer: LAC_1","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939387","","384.83","1","4124948","1245734296","LAC_1","WGS","METAGENOMIC","RANDOM"
"SRX17380208","shotgun metagenomic sequencing of university campus sewer: LAC_19","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939386","","615.83","1","6705083","2024935066","LAC_19","WGS","METAGENOMIC","RANDOM"
"SRX17380207","shotgun metagenomic sequencing of university campus sewer: LAC_17","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939385","","358.64","1","3695849","1116146398","LAC_17","WGS","METAGENOMIC","RANDOM"
"SRX17380206","shotgun metagenomic sequencing of university campus sewer: LAC_15","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939384","","239.51","1","2548874","769759948","LAC_15","WGS","METAGENOMIC","RANDOM"
"SRX17380205","shotgun metagenomic sequencing of university campus sewer: LAC_13","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939383","","428.76","1","4624655","1396645810","LAC_13","WGS","METAGENOMIC","RANDOM"
"SRX17380204","shotgun metagenomic sequencing of university campus sewer: LAC_12","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939382","","592.56","1","6340957","1914969014","LAC_12","WGS","METAGENOMIC","RANDOM"
"SRX17380203","shotgun metagenomic sequencing of university campus sewer: LAC_10","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939381","","493.74","1","5387017","1626879134","LAC_10","WGS","METAGENOMIC","RANDOM"
"SRX17380202","shotgun metagenomic sequencing of university campus sewer: BAS_10","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939380","","554.34","1","5898399","1781316498","BAS_10","WGS","METAGENOMIC","RANDOM"
"SRX17380201","shotgun metagenomic sequencing of university campus sewer: KWC_8","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939379","","479.36","1","5114135","1544468770","KWC_8","WGS","METAGENOMIC","RANDOM"
"SRX17380200","shotgun metagenomic sequencing of university campus sewer: KWC_6","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939378","","603.99","1","6288537","1899138174","KWC_6","WGS","METAGENOMIC","RANDOM"
"SRX17380199","shotgun metagenomic sequencing of university campus sewer: KWC_5","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939377","","617.92","1","6660425","2011448350","KWC_5","WGS","METAGENOMIC","RANDOM"
"SRX17380198","shotgun metagenomic sequencing of university campus sewer: KWC_20","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939376","","377.24","1","3875340","1170352680","KWC_20","WGS","METAGENOMIC","RANDOM"
"SRX17380197","shotgun metagenomic sequencing of university campus sewer: KWC_19","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939375","","257.95","1","2707674","817717548","KWC_19","WGS","METAGENOMIC","RANDOM"
"SRX17380196","shotgun metagenomic sequencing of university campus sewer: KWC_17","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939374","","596.31","1","6372485","1924490470","KWC_17","WGS","METAGENOMIC","RANDOM"
"SRX17380195","shotgun metagenomic sequencing of university campus sewer: KWC_15","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939373","","301.92","1","3235377","977083854","KWC_15","WGS","METAGENOMIC","RANDOM"
"SRX17380194","shotgun metagenomic sequencing of university campus sewer: KWC_13","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939372","","275.05","1","2941369","888293438","KWC_13","WGS","METAGENOMIC","RANDOM"
"SRX17380193","shotgun metagenomic sequencing of university campus sewer: KWC_12","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939371","","548.34","1","5679690","1715266380","KWC_12","WGS","METAGENOMIC","RANDOM"
"SRX17380192","shotgun metagenomic sequencing of university campus sewer: KWC_10","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939370","","514.54","1","5570607","1682323314","KWC_10","WGS","METAGENOMIC","RANDOM"
"SRX17380191","shotgun metagenomic sequencing of university campus sewer: SEW_10","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939369","","772.75","1","8486150","2562817300","SEW_10","WGS","METAGENOMIC","RANDOM"
"SRX17380190","shotgun metagenomic sequencing of university campus sewer: REG_8","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939368","","648.79","1","7020279","2120124258","REG_8","WGS","METAGENOMIC","RANDOM"
"SRX17380189","shotgun metagenomic sequencing of university campus sewer: REG_6","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939367","","544.27","1","5977284","1805139768","REG_6","WGS","METAGENOMIC","RANDOM"
"SRX17380188","shotgun metagenomic sequencing of university campus sewer: REG_5","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939365","","813.65","1","8677561","2620623422","REG_5","WGS","METAGENOMIC","RANDOM"
"SRX17380187","shotgun metagenomic sequencing of university campus sewer: BAS_15","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939366","","552.24","1","6041489","1824529678","BAS_15","WGS","METAGENOMIC","RANDOM"
"SRX17380186","shotgun metagenomic sequencing of university campus sewer: REG_20","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939364","","196.93","1","2134327","644566754","REG_20","WGS","METAGENOMIC","RANDOM"
"SRX17380185","shotgun metagenomic sequencing of university campus sewer: REG_19","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939363","","216.96","1","2359528","712577456","REG_19","WGS","METAGENOMIC","RANDOM"
"SRX17380184","shotgun metagenomic sequencing of university campus sewer: REG_17","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939362","","308.32","1","3290844","993834888","REG_17","WGS","METAGENOMIC","RANDOM"
"SRX17380183","shotgun metagenomic sequencing of university campus sewer: REG_15","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939361","","422.12","1","4354468","1315049336","REG_15","WGS","METAGENOMIC","RANDOM"
"SRX17380182","shotgun metagenomic sequencing of university campus sewer: REG_13","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939360","","237.46","1","2571571","776614442","REG_13","WGS","METAGENOMIC","RANDOM"
"SRX17380181","shotgun metagenomic sequencing of university campus sewer: REG_12","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939359","","552.56","1","5905571","1783482442","REG_12","WGS","METAGENOMIC","RANDOM"
"SRX17380180","shotgun metagenomic sequencing of university campus sewer: LIB_8","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939358","","791.39","1","8587722","2593492044","LIB_8","WGS","METAGENOMIC","RANDOM"
"SRX17380179","shotgun metagenomic sequencing of university campus sewer: LIB_6","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939357","","615.63","1","6559276","1980901352","LIB_6","WGS","METAGENOMIC","RANDOM"
"SRX17380178","shotgun metagenomic sequencing of university campus sewer: LIB_5","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939356","","721.04","1","7759599","2343398898","LIB_5","WGS","METAGENOMIC","RANDOM"
"SRX17380177","shotgun metagenomic sequencing of university campus sewer: LIB_3","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939355","","401.33","1","4003644","1209100488","LIB_3","WGS","METAGENOMIC","RANDOM"
"SRX17380176","shotgun metagenomic sequencing of university campus sewer: BAS_13","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939354","","386.39","1","4070620","1229327240","BAS_13","WGS","METAGENOMIC","RANDOM"
"SRX17380175","shotgun metagenomic sequencing of university campus sewer: LIB_20","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939353","","432.97","1","4456922","1345990444","LIB_20","WGS","METAGENOMIC","RANDOM"
"SRX17380174","shotgun metagenomic sequencing of university campus sewer: LIB_1","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939351","","182.59","1","1958105","591347710","LIB_1","WGS","METAGENOMIC","RANDOM"
"SRX17380173","shotgun metagenomic sequencing of university campus sewer: LIB_19","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939350","","524.15","1","5112349","1543929398","LIB_19","WGS","METAGENOMIC","RANDOM"
"SRX17380172","shotgun metagenomic sequencing of university campus sewer: LIB_17","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939349","","338.97","1","3588190","1083633380","LIB_17","WGS","METAGENOMIC","RANDOM"
"SRX17380171","shotgun metagenomic sequencing of university campus sewer: LIB_15","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939348","","318.4","1","3373146","1018690092","LIB_15","WGS","METAGENOMIC","RANDOM"
"SRX17380170","shotgun metagenomic sequencing of university campus sewer: LIB_13","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939352","","480.18","1","5169733","1561259366","LIB_13","WGS","METAGENOMIC","RANDOM"
"SRX17380169","shotgun metagenomic sequencing of university campus sewer: LIB_12","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939347","","535.62","1","5650834","1706551868","LIB_12","WGS","METAGENOMIC","RANDOM"
"SRX17380168","shotgun metagenomic sequencing of university campus sewer: LIB_10","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939345","","493.32","1","5350854","1615957908","LIB_10","WGS","METAGENOMIC","RANDOM"
"SRX17380167","shotgun metagenomic sequencing of university campus sewer: BAK_8","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939346","","553.87","1","6025876","1819814552","BAK_8","WGS","METAGENOMIC","RANDOM"
"SRX17380166","shotgun metagenomic sequencing of university campus sewer: BAK_12","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939343","","803.1","1","8904530","2689168060","BAK_12","WGS","METAGENOMIC","RANDOM"
"SRX17380165","shotgun metagenomic sequencing of university campus sewer: BAK_10","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939344","","397.82","1","4340749","1310906198","BAK_10","WGS","METAGENOMIC","RANDOM"
