benchmark,dataset_type,scale,strategy,genome_id,genome_tier,genome_length,q_value,error_rate,coverage,replicate,algorithm_id,graph_family,memory_profile,tokenizer,input_mode,stage,num_reads,run_seconds,peak_memory_bytes,num_contigs,total_contig_length,assembly_size_ratio,n50,l50,kmer_precision,kmer_recall,kmer_f1,effective_graph_family,effective_memory_profile,tokenizer_used,status,error_message,f1_delta_vs_full,runtime_ratio_vs_full,memory_ratio_vs_full
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,10,0.1,10,1,kmer_full_fastq,kmer,full,none,fastq,baseline,360,10.353828667,2.317563944e9,20305,693898,128.83364277757147,32,9463,0.05043064903280463,0.40011202389843165,0.08957157784743991,kmer,full,none,ok,,0.0027511100201597777,0.06901106024602206,0.1446550556953049
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,10,0.1,50,1,kmer_full_fastq,kmer,full,none,fastq,baseline,1796,20.662072791,5.638159104e9,98295,3358931,623.6411065725956,32,45812,0.02333694506124551,0.8967513069454817,0.045490062367699494,kmer,full,none,ok,,-0.04133040545958064,0.13771828721988588,0.3519161666799345
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,10,0.1,250,1,kmer_full_fastq,kmer,full,none,fastq,baseline,5000,145.673222542,1.5110648512e10,262284,8974969,1666.3514667656889,32,122051,0.009551268553163688,0.9908513816280806,0.018920157079728835,kmer,full,none,ok,,-0.06790031074755129,0.9709513128336316,0.9431591770119185
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,30,0.001,10,1,kmer_full_fastq,kmer,full,none,fastq,baseline,360,5.788572792,3.21451288e8,72,12618,2.342740438173041,750,7,1.0,0.9762882748319641,0.9880018894662258,kmer,full,none,ok,,0.9011814216389457,0.038582398698600764,0.020063978855621813
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,30,0.001,50,1,kmer_full_fastq,kmer,full,none,fastq,baseline,1796,2.374900834,1.176783288e9,142,14941,2.774043817304122,527,9,1.0,0.9971994025392084,0.9985977376834626,kmer,full,none,ok,,0.9117772698561825,0.015829354512680967,0.0734511134019196
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,30,0.001,250,1,kmer_full_fastq,kmer,full,none,fastq,baseline,5000,7.900248416,3.03128604e9,217,17212,3.1956925362049757,232,13,1.0,0.9994398805078417,0.9997198617984873,kmer,full,none,ok,,0.9128993939712071,0.05265728620107524,0.18920334521074178
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,50,1.0e-5,10,1,kmer_full_fastq,kmer,full,none,fastq,baseline,360,1.09402425,3.23261856e8,73,12896,2.394355737096175,590,7,1.0,0.9994398805078417,0.9997198617984873,kmer,full,none,ok,,0.9128993939712071,0.007291966658478133,0.02017698881832778
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,50,1.0e-5,50,1,kmer_full_fastq,kmer,full,none,fastq,baseline,1796,2.558727042,1.171431544e9,165,15633,2.90252506498329,221,11,1.0,0.9973861090365945,0.9986913441764816,kmer,full,none,ok,,0.9118708763492015,0.017054605762541718,0.0731170743656327
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,50,1.0e-5,250,1,kmer_full_fastq,kmer,full,none,fastq,baseline,5000,9.406934417,3.02954372e9,212,17058,3.1670998886000743,260,13,1.0,0.9990664675130695,0.9995330157840665,kmer,full,none,ok,,0.9127125479567864,0.06269975471499324,0.18909459507364565
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,10,0.1,10,1,kmer_lightweight_fastq,kmer,lightweight,none,fastq,baseline,360,0.995502375,3.45287016e8,471,56915,10.567211288525808,148,189,0.050385955003294736,0.3997386109036595,0.08949172379200802,kmer,lightweight_quality,none,ok,,0.002671255964727892,0.006635291792604959,0.021551730065380078
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,10,0.1,50,1,kmer_lightweight_fastq,kmer,lightweight,none,fastq,baseline,1796,3.193702,1.408162408e9,3205,305254,56.67545488303008,124,1044,0.02336845889628971,0.8980582524271845,0.045551614904185356,kmer,lightweight_quality,none,ok,,-0.041268852923094776,0.02128688509520235,0.08789307068943365
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,10,0.1,250,1,kmer_lightweight_fastq,kmer,lightweight,none,fastq,baseline,5000,11.4199355,3.76467084e9,9959,863845,160.3871147419235,108,3158,0.009550924767795729,0.9908513816280806,0.018919482575145856,kmer,lightweight_quality,none,ok,,-0.06790098525213428,0.07611694979153415,0.23497891889652658
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,30,0.001,10,1,kmer_lightweight_fastq,kmer,lightweight,none,fastq,baseline,360,0.072193916,8.1717176e7,85,12470,2.3152617898254735,760,7,1.0,0.9762882748319641,0.9880018894662258,kmer,lightweight_quality,none,ok,,0.9011814216389457,0.000481191919116026,0.00510052923292417
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,30,0.001,50,1,kmer_lightweight_fastq,kmer,lightweight,none,fastq,baseline,1796,1.183114375,1.7637676e8,104,13502,2.506869662086892,685,8,1.0,0.9971994025392084,0.9985977376834626,kmer,lightweight_quality,none,ok,,0.9117772698561825,0.00788577636708345,0.011008882886364677
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,30,0.001,250,1,kmer_lightweight_fastq,kmer,lightweight,none,fastq,baseline,5000,1.334224083,4.02598688e8,143,14695,2.728369847753435,420,9,1.0,0.9992531740104555,0.9996264475158759,kmer,lightweight_quality,none,ok,,0.9128059796885958,0.008892963321585021,0.025128944461821796
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,50,1.0e-5,10,1,kmer_lightweight_fastq,kmer,lightweight,none,fastq,baseline,360,0.076277709,8.2397232e7,89,12790,2.374675083549944,346,11,1.0,0.9994398805078417,0.9997198617984873,kmer,lightweight_quality,none,ok,,0.9128993939712071,0.0005084115007625265,0.005142976190562861
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,50,1.0e-5,50,1,kmer_lightweight_fastq,kmer,lightweight,none,fastq,baseline,1796,0.788095625,1.76227672e8,120,13983,2.596175269216487,478,9,1.0,0.9973861090365945,0.9986913441764816,kmer,lightweight_quality,none,ok,,0.9118708763492015,0.0052528698712048525,0.01099957728209027
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,50,1.0e-5,250,1,kmer_lightweight_fastq,kmer,lightweight,none,fastq,baseline,5000,0.872120875,4.0198396e8,161,15230,2.8277014481990346,445,9,1.0,0.9988797610156833,0.9994395665981692,kmer,lightweight_quality,none,ok,,0.9126190987708891,0.00581292082205927,0.025090575072572504
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,10,0.1,10,1,kmer_ultralight_fastq,kmer,ultralight,none,fastq,baseline,360,0.99182125,2.6412084e8,471,56915,10.567211288525808,148,189,0.050385955003294736,0.3997386109036595,0.08949172379200802,kmer,ultralight_quality,none,ok,,0.002671255964727892,0.006610756101768407,0.016485592520285912
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,10,0.1,50,1,kmer_ultralight_fastq,kmer,ultralight,none,fastq,baseline,1796,2.908549583,1.020677864e9,3205,305254,56.67545488303008,124,1044,0.02336845889628971,0.8980582524271845,0.045551614904185356,kmer,ultralight_quality,none,ok,,-0.041268852923094776,0.019386267337096485,0.06370750358199603
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,10,0.1,250,1,kmer_ultralight_fastq,kmer,ultralight,none,fastq,baseline,5000,9.39548075,2.71592236e9,9959,863845,160.3871147419235,108,3158,0.009550924767795729,0.9908513816280806,0.018919482575145856,kmer,ultralight_quality,none,ok,,-0.06790098525213428,0.06262341293565762,0.16951933570896283
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,30,0.001,10,1,kmer_ultralight_fastq,kmer,ultralight,none,fastq,baseline,360,0.072438417,6.2950264e7,85,12470,2.3152617898254735,760,7,1.0,0.9762882748319641,0.9880018894662258,kmer,ultralight_quality,none,ok,,0.9011814216389457,0.00048282158421711005,0.003929157583129084
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,30,0.001,50,1,kmer_ultralight_fastq,kmer,ultralight,none,fastq,baseline,1796,0.938991,1.41893656e8,104,13502,2.506869662086892,685,8,1.0,0.9971994025392084,0.9985977376834626,kmer,ultralight_quality,none,ok,,0.9117772698561825,0.006258628238460931,0.008856555938674215
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,30,0.001,250,1,kmer_ultralight_fastq,kmer,ultralight,none,fastq,baseline,5000,0.365612083,3.13773408e8,143,14695,2.728369847753435,420,9,1.0,0.9992531740104555,0.9996264475158759,kmer,ultralight_quality,none,ok,,0.9128059796885958,0.0024369031300473824,0.01958474972285193
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,50,1.0e-5,10,1,kmer_ultralight_fastq,kmer,ultralight,none,fastq,baseline,360,0.050567542,6.3623792e7,89,12790,2.374675083549944,346,11,1.0,0.9994398805078417,0.9997198617984873,kmer,ultralight_quality,none,ok,,0.9128993939712071,0.000337046304289135,0.003971197083529746
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,50,1.0e-5,50,1,kmer_ultralight_fastq,kmer,ultralight,none,fastq,baseline,1796,0.147899167,1.4176492e8,120,13983,2.596175269216487,478,9,1.0,0.9973861090365945,0.9986913441764816,kmer,ultralight_quality,none,ok,,0.9118708763492015,0.0009857878329302932,0.008848520642259545
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,50,1.0e-5,250,1,kmer_ultralight_fastq,kmer,ultralight,none,fastq,baseline,5000,0.454785375,3.13762072e8,161,15230,2.8277014481990346,445,9,1.0,0.9988797610156833,0.9994395665981692,kmer,ultralight_quality,none,ok,,0.9126190987708891,0.003031267169135853,0.019584042165368735
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,30,0.001,50,1,kmer_full_fasta,kmer,full,none,fasta,baseline,1796,4.341231583,8.51858248e8,2,10742,1.994430003713331,5371,1,1.0,0.9971994025392084,0.9985977376834626,kmer,full,none,ok,,0.9117772698561825,0.028935479227236733,0.053170313866837085
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,30,0.001,50,1,kmer_lightweight_fasta,kmer,lightweight,none,fasta,baseline,1796,3.158618625,2.41448984e8,2,10742,1.994430003713331,5371,1,1.0,0.9971994025392084,0.9985977376834626,kmer,lightweight,none,ok,,0.9117772698561825,0.02105304493967848,0.015070486541921616
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,30,0.001,50,1,kmer_ultralight_fasta,kmer,ultralight,none,fasta,baseline,1796,2.162630792,1.60097048e8,2,10742,1.994430003713331,5371,1,1.0,0.9971994025392084,0.9985977376834626,kmer,ultralight,none,ok,,0.9117772698561825,0.014414517438587087,0.009992754441598226
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,30,0.001,50,1,ngram_full_string,ngram,full,none,string,baseline,1796,1.99114175,4.80761e8,2,10442,1.9387300408466395,5221,1,1.0,0.9971994025392084,0.9985977376834626,ngram,full,none,ok,,0.9117772698561825,0.013271496727155547,0.03000759025923579
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,30,0.001,50,1,ngram_lightweight_string,ngram,lightweight,none,string,baseline,1796,0.372232542,1.4881488e8,2,10442,1.9387300408466395,5221,1,1.0,0.9971994025392084,0.9985977376834626,ngram,lightweight,none,ok,,0.9117772698561825,0.002481030274662158,0.009288556982611615
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,30,0.001,50,1,ngram_ultralight_string,ngram,ultralight,none,string,baseline,1796,0.29952575,1.14330016e8,2,10442,1.9387300408466395,5221,1,1.0,0.9971994025392084,0.9985977376834626,ngram,ultralight,none,ok,,0.9117772698561825,0.001996419898695716,0.007136120181254037
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,30,0.001,50,1,olc_full_fastq,olc,full,none,fastq,baseline,1796,24.463526125,5.4384496576e10,1670,250500,46.509468993687335,150,835,1.0,0.9971994025392084,0.9985977376834626,olc,full,none,ok,,0.9117772698561825,0.16305599885222724,3.3945093085907962
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,30,0.001,50,1,olc_full_fasta,olc,full,none,fasta,baseline,1796,23.585352291,5.437471436e10,1670,250500,46.509468993687335,150,835,1.0,0.9971994025392084,0.9985977376834626,olc,full,none,ok,,0.9117772698561825,0.1572027334260944,3.393898733420274
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,30,0.001,50,1,olc_full_string,olc,full,none,string,baseline,1796,46.901627458,4.2866691432e10,1667,250053,46.42647604901597,150,834,0.9996256784577953,0.9971994025392084,0.9984110664548089,olc,full,none,ok,,0.9115905986275288,0.31261199525705075,2.6756041198444747
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,30,0.001,50,1,token_bpe_string,token,full,bpe,string,baseline,1796,,,,,,,,,,,,,,error,"ErrorException: ErrorException(""Cannot encode byte 0x20 (char ' ') at index 2 to BioSequences.DNAAlphabet{4}()"")",,,
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,30,0.001,50,1,token_unigram_string,token,full,unigram,string,baseline,1796,,,,,,,,,,,,,,error,"ErrorException: ErrorException(""Cannot encode byte 0x20 (char ' ') at index 2 to BioSequences.DNAAlphabet{4}()"")",,,
rhizomorph_reconstruction_suite,isolate,small,tiered,viral_5kb,viral,5386,30,0.001,50,1,token_char_string,token,full,char_fallback,string,baseline,1796,,,,,,,,,,,,,,error,"ErrorException: ErrorException(""Cannot encode byte 0x20 (char ' ') at index 2 to BioSequences.DNAAlphabet{4}()"")",,,
rhizomorph_reconstruction_suite,isolate,small,tiered,bacterial_small_250kb,bacterial_small,250000,10,0.1,10,1,kmer_full_fastq,kmer,full,none,fastq,baseline,5000,150.031438875,1.6021313136e10,293570,9998038,39.992152,32,137351,0.061590166214035964,0.14706564787774534,0.08682046782728013,kmer,full,none,ok,,0.0,1.0,1.0
